Stores Sale Code,Stores Normalized Activity,Stores Has Theme (Yes / No),Stores Opens At Month Name,Stores Days Open,User Built By Omg (Yes / No),Stores Products Offered Sum,Products Count Products,Products Count Brands,Orders Count Orders,Transactions Net Units
YVUMY,Other,No,June,31,No,6,6,1,26,62
ZKM7T,Wrestling,No,October,28,No,39,32,9,64,310
ZCB8W,Apparel,No,December,73,No,35,29,8,289,396
ZPYDD,Band Music & Choir,No,June,90,No,23,20,8,80,187
YQTKT,Spirit Wear,No,January,13,Yes,12,10,4,11,25
ZMP35,Baseball,No,July,16,No,68,47,8,111,350
XJP2R,Apparel,No,June,11,No,6,6,4,43,79
ZMRDZ,Tennis,No,February,9,No,20,12,1,16,66
YYVP8,Other,No,August,12,No,10,6,5,8,16
YNU9X,Apparel,No,August,3,No,8,8,2,31,64
ZCPH7,Police Fire & Military,No,August,20,No,31,24,10,12,68
XUABR,Reunion,No,June,22,No,4,4,2,6,13
YMRED,Cross Country,No,July,31,No,13,10,4,14,40
YDMUC,Baseball,No,June,13,No,26,25,4,39,100
Y3DUP,Football,No,October,11,No,9,7,1,152,268
YK8CQ,Swimming,No,November,13,No,10,4,1,3,5
YGCAE,Baseball,Yes,January,29,No,14,10,1,9,40
Y6MB8,Other,No,November,16,No,14,10,5,15,28
ZFRZT,Soccer,No,March,6,No,91,2,1,1,2
XTPC9,Volleyball,No,June,4,No,16,6,1,3,15
YNXRD,Greek,No,October,10,No,1,1,1,27,56
XECXJ,Volleyball,No,January,20,No,23,13,4,15,61
ZBGJB,Soccer,No,March,10,No,22,12,7,8,36
ZBGYD,Basketball,Yes,August,24,No,17,11,2,45,180
ZN97G,Softball,No,August,10,No,52,44,17,41,183
XE8JD,Softball,No,September,11,No,17,6,6,4,23
YHFRG,Other,No,September,15,No,1,1,1,15,16
XY29W,Cross Country,No,July,15,No,29,16,10,14,42
Y784W,Other,No,September,14,No,14,5,1,14,18
ZN26R,Swimming,No,September,10,No,31,16,10,226,376
YZZPT,Softball,No,November,42,No,13,10,2,22,51
Y5EW2,Cheer,No,September,13,No,3,3,2,17,29
XSE4Z,Apparel,No,November,19,No,30,16,7,35,73
ZHX5G,Football,No,May,29,No,41,33,14,48,329
YGFBB,School,No,August,14,No,23,15,3,39,76
YYUVF,Other,No,December,23,No,3,3,1,20,33
Z2UDM,Spirit Wear,No,July,16,No,64,31,3,18,52
ZWS44,Lacrosse,No,April,8,No,6,6,2,25,112
Y6RUH,Spirit Wear,No,April,26,No,31,10,7,9,21
XW5CV,Apparel,No,August,15,No,94,20,1,22,61
Z5AF8,Volleyball,Yes,February,11,No,17,12,5,33,98
YHGMF,Cross Country,No,August,13,No,5,5,2,9,23
XK3GB,Baseball,No,February,31,No,13,12,5,11,44
ZYBUE,Spirit Wear,No,October,21,No,45,12,7,10,27
YG6XZ,Dance,No,April,34,No,14,1,1,2,0
YVGVP,Swimming,No,July,22,No,8,8,3,41,68
YSBMF,Wrestling,Yes,January,17,No,26,12,2,8,19
YQGBP,Other,No,July,2,No,5,5,1,3,14
ZUQQR,Medical,No,August,33,No,18,2,1,1,2
ZQ6UY,Spirit Wear,No,October,24,No,10,8,1,44,70
XH2RS,Football,No,July,11,No,22,12,1,8,20
XHFQD,Corporate,No,April,43,No,9,8,4,25,58
XEEX7,Baseball,Yes,February,24,No,40,10,3,6,20
YKCEE,Basketball,No,November,20,No,3,3,2,11,26
ZHR7Y,School,No,February,8,No,10,10,4,12,35
ZSYUU,Basketball,No,November,43,No,9,8,4,12,33
YP8D7,Football,Yes,June,6,No,28,16,1,8,55
YRYC4,Softball,Yes,February,32,No,70,16,9,14,58
YKZKJ,Softball,No,October,42,No,14,2,1,1,2
YFG5X,Soccer,No,September,7,No,32,8,3,4,17
XZGHC,Field Hockey,No,September,16,No,19,12,1,28,116
Z2KHR,Other,No,August,18,No,10,8,3,8,28
XXZWS,Soccer,No,July,52,No,7,4,1,22,66
ZDDFU,Other,No,April,57,No,5,5,4,9,20
XUZDH,Baseball,No,October,115,No,14,10,6,15,75
ZS692,Swimming,No,October,9,No,4,4,3,12,38
ZWFD4,Softball,No,November,35,No,18,15,1,18,54
ZP8MH,Football,No,July,36,No,27,20,5,28,79
XXAA4,Spirit Wear,No,November,15,No,2,1,1,2,2
XW5GE,Race,No,February,15,No,20,12,2,16,35
YC2S2,Soccer,Yes,October,8,No,2,2,1,17,29
Z4KBJ,Volleyball,No,September,9,No,12,12,4,27,64
YEVPW,Apparel,No,November,63,No,1,1,1,105,133
ZJF6F,School,No,August,16,No,3,3,2,20,32
YDKYE,Spirit Wear,No,October,29,No,8,4,3,3,6
ZCMSD,Benefit,No,September,13,No,2,2,1,47,75
XHQV9,Softball,No,March,11,Yes,11,11,6,21,70
XGG57,Soccer,No,June,15,Yes,14,7,1,4,10
Y2SP3,Other,No,October,15,No,2,2,1,73,125
Y9HN4,Apparel,No,November,77,No,11,10,6,18,59
YFA2X,Cheer,No,November,10,No,7,6,3,13,32
YVR2E,Softball,No,April,12,Yes,3,3,1,9,19
YV54X,Football,No,July,23,No,23,17,2,70,241
YXZ5D,Other,No,November,12,No,35,1,1,1,1
Y4ZDQ,Baseball,No,February,9,No,18,13,7,8,30
Z2XH2,Band Music & Choir,No,August,10,No,9,9,5,47,111
XKAVM,Football,No,August,14,No,8,5,3,2,4
YQ8FE,Staff,Yes,February,7,No,96,23,9,3,63
YDQFZ,Football,No,May,14,No,26,24,12,11,101
YSF4G,Track & Field,No,January,8,No,19,11,4,7,38
XNMYG,School,No,November,32,No,3,3,1,14,19
Y84J2,Baseball,No,January,8,No,15,14,6,30,140
XJH8B,Lacrosse,No,October,13,No,22,21,6,54,174
YE278,Softball,No,October,7,No,20,15,1,12,32
YPH8X,School,No,September,8,No,26,14,2,58,129
YW58P,Softball,No,February,28,No,74,22,8,7,55
Z9P72,Spirit Wear,No,October,56,No,27,16,8,39,82
XJ2E7,Swimming,No,November,14,No,40,11,6,7,16
Z2VH2,School,No,December,12,No,7,6,5,27,36
ZQWCK,Other,No,May,31,No,10,1,1,1,1
XF7HG,Apparel,No,November,19,No,84,46,17,83,124
XUWZN,Baseball,No,September,7,No,3,3,1,47,165
YTK9F,Other,No,February,20,Yes,20,13,7,8,22
XR887,Wrestling,No,September,43,Yes,12,11,3,12,34
ZDMMM,Wrestling,No,November,26,No,11,8,3,16,44
YY7W9,Other,No,July,159,No,14,12,2,4,249
Z58Q9,Football,No,May,8,Yes,20,14,6,47,258
YDTEX,Apparel,No,April,7,No,11,7,6,2,116
YDHJP,Dance,No,August,21,No,10,10,7,49,154
YVGA6,Other,No,February,20,No,7,3,1,61,70
YG4U5,Swimming,No,July,101,No,137,11,4,65,120
ZW5ZU,Football,No,August,22,No,5,5,2,137,176
YW5TU,Other,Yes,November,29,No,11,4,1,8,11
ZJQGJ,Basketball,No,November,7,No,16,9,2,5,14
ZAFXA,Basketball,No,October,30,No,14,10,4,16,38
ZW4JN,Volleyball,No,December,15,No,23,11,2,30,50
YRXFP,Softball,No,January,30,No,32,24,10,29,79
YHV2Y,Track & Field,No,August,34,No,23,3,1,3,0
Z7X4B,Baseball,Yes,January,19,No,45,18,8,8,19
Y48MX,Tennis,No,August,12,No,14,14,3,29,66
XDN5X,Apparel,No,October,28,No,45,24,2,26,84
ZJ5NQ,Track & Field,No,January,25,No,10,5,1,17,48
XQ33H,Track & Field,No,April,3,No,1,1,1,18,43
ZE3SK,Reunion,No,May,21,No,7,7,4,8,34
XXAC4,Hockey,No,November,15,No,47,18,11,38,84
XN26A,Softball,No,January,18,No,5,5,1,30,205
ZNVMA,Soccer,No,July,50,No,7,5,2,40,45
ZW57D,Volleyball,No,September,7,No,1,1,1,7,11
YKSXD,Apparel,No,December,33,No,14,6,5,10,19
XP5BW,Spirit Wear,No,October,24,No,13,9,5,29,44
YRQF9,Fundraiser,No,May,7,No,2,2,1,13,15
YZSBF,Golf,No,January,12,No,17,13,1,10,30
XMDGC,Tennis,No,April,3,No,2,2,1,5,12
YJ99A,Dance,No,September,17,No,28,2,2,1,2
Y4JGW,Field Day,No,May,23,No,4,4,2,107,183
ZCPHF,Field Hockey,No,July,12,Yes,14,14,5,47,148
XJN5A,School,No,November,15,No,4,4,3,9,9
YGUKT,Other,No,June,37,No,12,7,5,22,44
YMFRC,Band Music & Choir,No,June,13,No,3,3,2,10,24
YC9RT,Track & Field,No,February,20,Yes,19,13,4,26,81
Y9HZB,Cheer,No,August,36,No,13,9,3,8,25
XX22G,Baseball,No,May,4,No,12,11,5,24,137
XFXKU,Swimming,No,August,197,No,19,9,4,19,44
XGRNJ,Staff,No,November,62,No,9,1,1,1,1
Z4FGJ,Apparel,No,November,18,No,38,15,9,56,167
XJG4B,Baseball,No,June,5,No,6,6,3,7,16
YZ756,Swimming,No,November,7,Yes,11,10,3,34,79
ZGBEV,Staff,No,October,24,No,48,25,11,31,46
Y4V2S,Cheer,No,July,19,No,30,25,4,25,75
YU76B,Cheer,No,August,19,No,3,3,1,11,30
Y56TY,Swimming,No,April,18,No,34,27,9,38,114
YT3UD,Softball,No,May,11,No,12,8,2,16,41
XUBCW,Other,No,November,8,No,7,7,1,28,72
YXVVJ,Apparel,No,October,7,No,10,6,4,6,13
Y8XHW,Other,No,March,11,Yes,56,51,5,68,256
YP99C,Soccer,No,November,60,Yes,10,8,2,21,94
ZXCVH,Other,No,May,8,No,4,4,1,9,20
YVSSK,Basketball,No,September,12,Yes,3,2,1,4,5
YX37R,Soccer,No,November,13,No,3,3,2,19,24
YYQ8W,Staff,No,August,21,No,19,11,5,17,25
Z2JYC,Apparel,No,July,18,No,20,11,6,6,21
YY5WU,Basketball,No,November,11,No,83,32,12,24,86
ZQ3AA,School,No,August,43,No,38,26,9,69,126
XF73V,PE,No,April,84,No,4,4,1,117,374
XPPYH,Volleyball,No,June,28,Yes,8,8,3,6,29
XWDNZ,Track & Field,No,March,11,No,10,9,4,22,62
ZG4YQ,Softball,Yes,December,51,Yes,12,5,1,3,10
YEDT6,Soccer,No,August,12,No,10,4,1,4,6
Z3RRN,Swimming,No,November,3,No,12,12,2,17,86
Y4VKS,Band Music & Choir,No,August,28,No,17,13,2,29,54
ZP34E,Football,No,August,18,No,9,7,2,13,30
ZB3W9,Baseball,No,April,20,No,3,3,2,16,32
ZJDE3,Track & Field,No,January,30,No,13,8,3,32,78
XNGSD,Other,No,June,4,No,22,3,2,2,7
XT5SW,Basketball,No,August,38,No,24,6,2,23,69
XPD9P,Cross Country,No,August,12,No,11,10,3,44,92
ZRU9U,Other,No,September,104,No,33,2,2,3,4
YNJTM,Basketball,No,September,14,No,4,4,1,2,4
Y75RS,Other,No,September,15,No,3,3,1,8,12
Y4GXC,Wrestling,No,November,14,No,13,10,3,14,40
YTQUP,Softball,No,July,26,Yes,19,11,4,20,67
XUJEF,Other,Yes,December,27,Yes,4,4,1,372,419
YMYEE,Staff,No,April,52,No,11,8,5,34,78
YTJQ4,Other,No,June,9,No,4,4,1,14,16
YTTUQ,Swimming,No,November,12,No,29,11,7,10,26
ZK4DQ,Football,No,July,49,No,16,14,1,27,84
XW346,Baseball,No,June,7,No,4,3,3,22,80
ZN9UV,Spirit Wear,No,November,25,No,9,9,5,13,44
ZN2QE,Football,No,October,4,No,1,1,1,8,10
XZY3S,Other,No,November,18,No,17,11,7,77,149
XXEYP,Softball,No,June,31,Yes,39,27,11,68,366
YZNNK,Booster Club,No,September,8,No,2,2,1,30,73
Z2U54,Other,No,December,14,No,6,3,1,2,3
YCWZG,Football,No,May,12,No,18,16,4,27,98
ZDH58,Golf,Yes,July,25,Yes,16,5,1,2,1
XSVS4,Wrestling,No,January,7,No,19,15,6,22,42
XDXEK,Volleyball,Yes,August,8,No,17,11,7,20,42
ZPFV2,Basketball,No,October,27,No,4,4,2,8,16
XXGBZ,Staff,No,September,46,No,18,7,3,7,16
ZR9RM,Spirit Wear,No,September,47,No,49,19,8,20,45
XTSYU,Track & Field,No,April,7,Yes,7,7,3,19,44
YWTTS,Football,No,September,13,No,76,13,7,6,16
Y3KA4,Volleyball,No,March,3,No,12,4,2,8,16
YG2KG,Other,No,August,28,Yes,5,5,2,20,34
ZUEXR,Basketball,No,September,29,No,33,22,5,34,103
YCQU8,Volleyball,No,August,17,No,28,14,4,14,32
ZGPW6,Baseball,No,June,8,No,9,9,2,14,32
XPPYY,Baseball,No,June,30,Yes,32,25,3,49,166
YD7YF,Wrestling,No,January,7,No,8,7,1,7,14
ZEKXE,Greek,No,September,17,No,1,1,1,67,95
ZJCNT,Gymnastics,No,December,5,No,3,3,2,16,45
Y9PRA,Baseball,No,October,22,No,49,28,8,18,58
XEYTW,Track & Field,Yes,March,1,No,9,4,3,1,4
XN37J,School,No,October,43,No,18,12,2,22,39
YGGC8,Wrestling,No,February,25,No,3,3,1,11,36
YZH2E,Corporate,No,September,15,No,30,8,6,3,37
YMEBU,Other,No,June,34,No,15,13,6,18,46
ZAGJW,Spirit Wear,No,June,34,Yes,28,17,5,26,68
ZVYGE,Basketball,No,November,12,No,16,13,4,23,157
YUHBM,Corporate,No,September,16,No,15,1,1,1,5
YBY5D,Basketball,No,December,23,No,21,7,2,4,8
Z8BVB,Softball,Yes,February,16,No,26,15,5,33,164
YVW9X,Softball,No,December,41,No,29,4,2,5,8
ZPQD8,Fundraiser,No,November,17,No,2,2,1,52,96
XM7XM,Booster Club,No,September,25,No,8,6,1,16,40
Y9PRR,Apparel,No,October,34,No,48,36,16,39,142
Y57MX,Other,Yes,August,103,No,32,23,3,37,267
XPF9K,Baseball,Yes,February,22,No,40,32,13,32,160
YMPV2,Volleyball,No,November,1,No,3,3,1,20,44
XSWJQ,Baseball,No,December,13,No,21,10,3,10,26
XETTF,Other,No,September,40,No,11,11,1,24,51
XQEG7,Tennis,No,August,18,No,13,10,4,25,67
XW7UY,School,No,November,12,No,20,17,1,49,78
Z9ARX,Tennis,No,September,4,No,9,7,4,30,71
ZRJVA,Apparel,No,April,50,No,20,20,9,17,48
XTSHH,Spirit Wear,No,July,17,No,51,43,7,72,297
ZACZ6,Apparel,No,September,27,Yes,11,11,3,15,42
ZUDDY,Soccer,No,February,13,Yes,11,2,1,5,8
YT92C,Other,No,August,28,No,13,7,4,7,20
Z2T7G,Baseball,No,February,10,No,16,14,10,29,125
ZDNM6,Spirit Wear,Yes,August,114,No,28,11,6,36,80
Y72PM,Hockey,No,November,9,No,16,8,2,8,17
YTDHA,Softball,No,January,25,No,9,9,6,23,125
Z89ZJ,Wrestling,Yes,January,14,No,28,12,3,35,105
Z7C8Y,Wrestling,No,November,13,No,6,6,3,21,206
YPUQ6,Cross Country,No,October,1,No,10,4,2,18,52
XX3NP,Apparel,No,September,28,No,4,4,3,23,66
Y8TBP,Spirit Wear,No,November,8,No,13,8,6,5,13
XHX5E,Other,No,August,122,No,22,17,7,25,141
ZSQRT,School,No,July,17,No,16,14,2,20,36
YRQ86,Football,No,August,10,No,32,21,2,24,80
XRDS4,Football,No,June,42,No,32,31,8,54,228
XSSYD,Spirit Wear,Yes,January,29,No,4,3,1,25,31
XWKD4,School,No,November,63,No,4,3,1,2,7
YK8Y3,Football,No,July,11,No,1,1,1,3,3
YEDFQ,Fundraiser,No,May,4,No,5,3,1,9,31
YEXAN,Baseball,No,May,13,No,6,6,2,10,44
XXUYW,Other,No,May,65,No,5,2,1,286,553
ZC5UH,School,No,September,25,Yes,15,15,4,73,126
Z5TNB,Spirit Wear,No,November,12,No,24,9,6,55,210
ZQFC4,Wrestling,No,November,4,No,48,21,7,15,55
ZTX9A,Softball,Yes,November,18,No,49,6,5,3,7
YB6NC,Staff,Yes,January,17,No,2,2,1,4,7
YCZ8Q,Dance,No,October,12,No,6,5,2,26,77
XV7J8,Field Day,No,April,17,No,4,4,2,118,184
ZQRQB,Basketball,No,October,26,No,17,2,1,1,3
YEJ9X,Volleyball,No,August,5,Yes,4,4,1,16,72
YY6XV,Spirit Wear,No,November,20,No,15,10,7,9,19
Y96RJ,Other,No,September,20,No,6,3,1,8,14
YWS8N,Soccer,No,November,31,No,12,11,4,18,59
ZG7GJ,Football,No,July,20,No,15,14,6,32,119
XM97J,Other,No,August,17,No,3,3,1,51,145
YRPAM,Other,No,April,6,No,7,3,2,4,8
YTRAW,Volleyball,Yes,December,25,No,9,6,1,6,12
XEYUK,Football,No,August,8,No,38,23,10,57,256
XJ87X,Wrestling,No,November,29,No,18,12,2,12,38
YUWJU,Cheer,No,October,5,No,6,5,3,10,13
XVX44,Baseball,No,October,21,No,14,7,6,13,95
ZZ6VJ,Police Fire & Military,No,July,53,No,8,5,3,4,31
YVMMF,Other,No,November,24,Yes,34,19,9,25,97
YPZ8M,Soccer,Yes,June,45,No,65,50,10,112,834
ZPJXK,Lacrosse,No,July,18,No,12,8,2,8,33
XT2DB,Track & Field,No,January,46,No,19,14,4,21,92
XRH8B,Football,No,August,12,Yes,1,1,1,6,6
ZTYZV,Volleyball,No,July,26,No,45,19,8,17,63
YZC5N,Baseball,Yes,February,18,No,23,11,5,11,47
ZKKPY,Other,No,January,19,No,11,8,7,10,20
YN6DE,Baseball,No,February,18,No,36,24,10,67,351
Z86EX,Other,No,August,12,No,5,5,1,135,148
ZZN63,Band Music & Choir,Yes,January,33,No,37,15,9,29,108
Y5E68,Football,No,August,10,No,10,7,2,8,17
ZS2DK,Other,No,October,21,No,6,6,3,32,46
Z3FUD,Baseball,No,January,21,No,51,34,8,20,89
Y6TY6,Apparel,No,January,11,No,1,1,1,75,105
XWMDY,Softball,Yes,January,32,No,11,7,5,10,29
ZE45T,Spirit Wear,No,February,26,No,27,9,3,11,25
ZWP6V,Basketball,No,November,4,Yes,13,9,2,66,317
XSGHS,Baseball,No,August,19,No,14,12,3,10,44
Y5KW3,Softball,No,August,24,No,22,18,8,16,97
Z4KBA,Other,No,January,9,No,4,4,1,14,20
Z634E,Basketball,No,November,13,No,17,10,2,41,122
Z7P88,Other,No,October,3,No,2,2,1,11,18
Y4EMX,Wrestling,No,October,19,No,38,32,11,51,169
ZK768,Medical,No,October,18,No,20,17,9,60,136
XTQ4E,Basketball,Yes,October,27,No,58,33,9,35,139
YNWEC,Hockey,No,February,10,No,9,5,3,9,17
Y58US,Other,No,November,13,No,9,9,3,40,121
ZSUMV,Swimming,No,November,48,No,3,2,2,24,29
ZFEN3,Volleyball,No,September,17,No,24,17,2,18,54
Y9T4X,Baseball,No,May,25,No,14,10,2,50,102
XTE87,Rugby,No,February,29,No,36,21,5,31,88
ZWTA7,Cross Country,No,July,12,No,11,10,4,26,63
ZXVC6,Soccer,No,August,8,No,24,4,2,3,4
ZGNW8,Hockey,No,September,21,No,9,7,5,14,40
XVZB6,Tennis,No,September,4,No,1,1,1,16,19
Z5JHK,Lacrosse,No,September,8,No,15,15,6,28,130
Y4CJK,Volleyball,No,August,8,No,14,3,2,12,17
YEC2S,Swimming,No,October,21,No,22,15,6,15,32
ZZK5U,Apparel,No,August,18,No,22,17,7,33,122
ZEF87,Spirit Wear,No,April,272,No,4,4,1,37,45
YDAWS,Basketball,No,November,1,No,1,1,1,1,1
XPJWB,Baseball,No,January,12,No,15,10,2,9,20
YVQE3,Race,No,April,20,No,2,2,1,8,15
YP2X5,Lacrosse,No,July,25,No,10,8,1,28,61
ZGY2B,School,No,May,11,No,11,8,6,15,95
XSY4W,Baseball,Yes,March,13,No,11,6,4,7,28
ZQYDF,Baseball,Yes,November,13,Yes,18,12,2,24,155
Y7HUK,Benefit,No,April,21,No,6,6,1,62,157
YECQ9,Police Fire & Military,No,June,15,No,2,2,2,21,29
XP429,Soccer,No,July,12,No,47,13,7,7,32
ZGWEG,Other,No,November,24,No,9,9,4,14,32
ZVNVN,Soccer,Yes,March,7,No,50,11,7,6,18
XT2F4,Cross Country,No,August,5,Yes,19,12,1,12,29
XKD6R,Tennis,No,April,5,No,19,5,3,2,3
XJRZC,Other,No,March,15,No,13,3,3,1,9
ZAV4M,Softball,No,June,44,No,18,13,5,8,29
ZMWSP,Cross Country,No,October,14,No,8,6,2,24,54
YNZ78,Basketball,No,November,16,No,15,12,1,29,71
XF8Y2,Apparel,No,February,18,No,9,5,2,14,34
YRMJZ,Basketball,No,December,1,No,14,2,1,3,5
ZBW59,Apparel,No,August,31,No,20,1,1,3,3
XXZPZ,Wrestling,No,September,19,No,28,15,4,9,31
XY2GP,School,No,September,7,No,8,4,1,9,17
YSNN2,Wrestling,No,December,59,No,14,12,7,11,24
Y5HAG,Other,No,February,33,No,6,5,1,51,53
YVENA,Spirit Wear,No,October,13,No,12,7,4,25,57
YECSB,Apparel,No,August,185,No,8,3,2,4,8
XSY95,Apparel,Yes,February,30,No,9,6,1,216,378
YMTSQ,Other,No,November,21,No,1,1,1,6,9
XY2CP,School,No,July,27,No,1,1,1,91,105
YSJAP,Volleyball,No,October,4,No,3,2,1,157,381
YZG49,Basketball,No,October,13,No,29,13,7,9,29
XMR46,Basketball,No,April,8,No,9,5,4,9,14
ZSMGT,Field Day,No,April,19,No,7,7,1,186,243
XKDYF,Band Music & Choir,No,October,4,No,5,4,2,45,52
ZSRF9,Baseball,No,June,6,No,2,2,1,33,46
Z73FN,Fundraiser,No,April,14,No,1,1,1,36,50
XMDYM,Basketball,No,October,26,No,2,1,1,8,9
XYAMK,Spirit Wear,No,April,5,No,16,10,4,16,175
ZWYDG,Spirit Wear,No,August,12,No,12,4,2,3,6
ZFYF2,Spirit Wear,No,August,31,No,10,10,3,89,140
XV4PU,Softball,No,January,14,No,27,5,2,2,15
ZXHH6,Athletics,No,May,12,No,7,6,5,15,40
YUW3G,Tennis,No,September,19,No,9,6,1,8,14
ZJNDH,Volleyball,Yes,December,28,No,69,14,2,12,45
YDAQS,Basketball,No,October,7,No,7,2,1,1,2
ZVYYE,Basketball,No,November,8,No,17,17,12,46,177
YFX2J,Rugby,No,March,11,No,34,14,3,22,62
Z38B4,Swimming,Yes,October,28,No,14,12,2,17,43
ZAZ95,Football,No,October,7,No,8,6,2,103,273
Z4JNH,Other,No,November,17,No,18,5,1,11,13
YX3NG,Basketball,No,October,21,No,6,2,1,196,390
XG999,School,No,June,14,No,4,2,2,8,8
XR2D5,Basketball,No,April,11,No,56,8,3,12,21
ZVMUC,Fundraiser,No,November,15,No,4,3,1,42,69
Y6VVV,Basketball,No,November,20,No,21,10,3,6,16
YRDCP,Baseball,No,February,33,No,40,13,8,16,44
ZPT3Z,Spirit Wear,No,December,8,No,10,5,1,3,8
XRX4J,Basketball,No,November,11,No,17,6,2,4,11
Z8D3F,Other,No,August,20,No,2,2,1,27,31
YKSAT,Baseball,No,August,15,No,9,9,2,12,50
YW36W,Wrestling,No,December,32,No,1,1,1,4,6
Z3N5M,Spirit Wear,No,October,24,Yes,16,15,7,43,84
Y7VM7,Football,No,January,21,No,12,10,4,20,47
XDRF7,Baseball,No,February,8,Yes,23,16,3,20,51
ZFZMA,Football,No,June,27,Yes,10,6,5,10,21
YGT3K,Basketball,No,November,13,No,5,2,1,1,0
Z826E,Softball,Yes,July,20,No,40,20,6,12,136
XDYTN,Soccer,Yes,March,8,No,8,7,2,12,27
XK8DW,Basketball,No,December,37,No,10,9,5,55,174
XZS9W,Softball,No,September,15,No,11,10,3,17,54
YBD3X,Baseball,No,October,33,No,80,22,8,9,41
YUH3A,Basketball,No,November,17,No,13,8,5,11,33
Z9B8F,Football,No,July,14,Yes,11,11,1,27,109
ZPQTJ,Swimming,No,August,12,Yes,18,14,2,37,154
XPXXY,Soccer,No,August,12,No,3,3,2,19,46
ZVS9X,Band Music & Choir,No,February,17,No,13,3,3,2,4
Y3XU8,Spirit Wear,No,November,18,No,21,15,3,24,98
Y2687,Basketball,No,October,19,No,15,11,2,26,99
ZAUZS,Apparel,No,August,27,No,34,15,7,34,92
Y8HUG,Wrestling,No,December,15,No,9,5,3,14,30
YRM7Z,Football,No,October,7,No,31,1,1,1,1
YDJ5N,Baseball,No,October,43,No,92,53,15,290,2860
XJ7K8,Football,No,August,16,No,24,18,5,19,55
YGAT9,Baseball,No,April,11,No,14,12,4,18,60
YZDGC,Apparel,No,August,1,No,20,18,7,36,93
YH4FD,Corporate,No,October,31,No,13,12,4,17,29
YA8YF,Gymnastics,No,September,7,No,8,2,1,2,2
Z695F,Football,Yes,April,40,No,15,10,3,5,14
XG2H4,Corporate,No,October,8,No,19,19,4,112,155
ZS7XR,Spirit Wear,No,January,22,No,6,5,2,12,16
Y9F35,Other,No,August,70,No,3,2,1,5,7
Y4WB7,Baseball,No,April,11,No,6,6,2,77,101
Z2QB2,Ultimate Frisbee,No,June,7,No,8,7,1,7,7
ZSGCH,Baseball,Yes,January,19,No,29,16,9,13,83
YJNV8,Corporate,No,February,26,No,59,9,5,9,35
Z9YE6,Football,No,August,15,No,25,17,5,17,57
ZR2YT,Baseball,Yes,November,15,No,43,19,8,11,42
ZMPBV,Other,No,October,16,No,10,4,4,2,8
ZNAUM,Baseball,No,February,10,No,63,26,10,15,83
ZE35W,Soccer,No,July,22,No,24,20,2,26,97
ZM3VN,Wrestling,No,November,11,No,4,4,1,5,32
YWWXB,Spirit Wear,No,August,18,No,4,4,2,19,21
XT3WT,Baseball,No,August,13,No,123,15,2,5,32
Y7QBP,Cheer,No,November,8,No,8,7,3,16,45
YHW4S,Spirit Wear,No,October,10,No,103,17,7,22,57
ZJEND,Baseball,No,February,23,No,18,17,8,55,305
XP7BM,School,No,November,20,No,16,15,3,26,75
XV5DB,Football,Yes,July,17,No,20,14,1,13,58
Y7AE5,Baseball,No,January,15,No,11,3,1,2,0
XZZA4,Other,No,June,14,No,16,11,5,10,32
YKYMK,Other,No,March,12,No,14,9,3,14,41
XZNDD,Other,Yes,January,8,No,43,6,6,3,902
ZSEJ4,Soccer,No,September,4,No,6,5,1,5,13
ZQCKN,Softball,No,June,14,No,27,5,4,3,0
ZBUN7,Softball,No,May,0,No,2,2,1,29,64
Y2KP9,Lacrosse,No,April,17,No,43,14,4,8,17
Y8876,Basketball,No,November,3,No,14,2,2,3,3
XWKE4,Spirit Wear,No,August,30,No,21,10,2,21,60
ZVPH5,Baseball,No,November,14,No,24,19,2,32,145
XPF3W,Corporate,No,April,29,No,23,1,1,2,3
ZYKC9,Other,No,September,3,No,15,11,7,18,55
ZF3VD,Spirit Wear,Yes,May,20,Yes,2,2,1,45,46
ZFN9B,Other,No,October,42,No,34,25,5,40,115
YMXSD,Football,No,August,7,No,38,9,1,11,18
YJHGV,Basketball,No,November,19,No,16,12,5,7,19
YY853,Apparel,Yes,December,49,Yes,22,2,1,1,2
ZTFQD,Soccer,No,April,12,No,36,30,8,54,143
ZYTJS,Baseball,No,February,21,No,24,21,9,32,170
ZVGDB,Softball,No,September,45,No,71,22,7,11,56
ZWRWG,Soccer,Yes,August,9,No,169,27,4,20,63
ZUCP9,Softball,No,November,63,No,26,16,4,14,52
XPQFA,Soccer,No,August,7,No,6,6,3,22,55
YEA5A,Soccer,No,August,123,No,39,18,3,31,79
ZFCW8,Softball,No,February,9,No,20,1,1,2,12
Z7YDR,Wrestling,No,November,15,No,31,18,4,24,70
Y7X93,Hockey,No,February,11,No,6,5,2,15,33
ZE4XM,School,No,November,18,No,13,7,2,19,30
XJ58Z,Track & Field,Yes,February,13,No,23,18,1,25,94
XS7VA,Soccer,No,June,14,No,7,6,2,30,145
ZB5PF,Other,No,July,24,No,11,10,8,14,31
YVH5C,Softball,No,February,13,No,9,8,3,27,85
YZWGP,Athletics,No,January,16,No,3,3,2,42,103
YG6AK,Softball,No,October,16,No,8,8,4,12,74
XW5US,Soccer,No,July,45,No,20,13,8,12,31
YEYHE,Softball,No,December,35,No,20,18,3,4,32
XMVAT,Other,No,October,6,No,20,14,8,22,72
YTAZB,Other,No,October,51,No,2,2,2,55,77
XU7KY,Greek,No,August,14,No,1,1,1,31,42
